timestamp,src_mac,dst_mac,src_ip,dst_ip,src_port,dst_port,proto,length
2024-07-10 11:38:22.718968,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.212,192.168.0.18,3478.0,61564.0,17.0,106
2024-07-10 11:38:22.719471,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,672
2024-07-10 11:38:22.737198,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,264
2024-07-10 11:38:22.738302,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,86
2024-07-10 11:38:22.739321,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,90
2024-07-10 11:38:22.740250,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,174
2024-07-10 11:38:22.751432,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,622
2024-07-10 11:38:22.755854,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,164
2024-07-10 11:38:22.756843,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,106
2024-07-10 11:38:22.757813,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,272
2024-07-10 11:38:22.769267,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.212,192.168.0.18,3478.0,61564.0,17.0,106
2024-07-10 11:38:22.772858,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,169
2024-07-10 11:38:22.776965,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,259
2024-07-10 11:38:22.788143,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,672
2024-07-10 11:38:22.792075,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,161
2024-07-10 11:38:22.797544,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,242
2024-07-10 11:38:22.798589,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,90
2024-07-10 11:38:22.806049,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,110
2024-07-10 11:38:22.807409,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,154
2024-07-10 11:38:22.816959,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,240
2024-07-10 11:38:22.818318,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.212,192.168.0.18,3478.0,61564.0,17.0,106
2024-07-10 11:38:22.820088,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,337
2024-07-10 11:38:22.820597,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,633
2024-07-10 11:38:22.821074,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,337
2024-07-10 11:38:22.821975,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,337
2024-07-10 11:38:22.823006,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,1224
2024-07-10 11:38:22.823750,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,1224
2024-07-10 11:38:22.826552,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,1224
2024-07-10 11:38:22.827600,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,1224
2024-07-10 11:38:22.830182,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,1224
2024-07-10 11:38:22.830688,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,1224
2024-07-10 11:38:22.831774,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,153
2024-07-10 11:38:22.835202,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,1224
2024-07-10 11:38:22.836289,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,1224
2024-07-10 11:38:22.837399,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,246
2024-07-10 11:38:22.847891,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,156
2024-07-10 11:38:22.856732,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,106
2024-07-10 11:38:22.857219,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,251
2024-07-10 11:38:22.857708,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,661
2024-07-10 11:38:22.859869,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,90
2024-07-10 11:38:22.869622,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.212,192.168.0.18,3478.0,61564.0,17.0,118
2024-07-10 11:38:22.872964,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,153
2024-07-10 11:38:22.877067,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,250
2024-07-10 11:38:22.888017,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,642
2024-07-10 11:38:22.892902,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,158
2024-07-10 11:38:22.896961,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,243
2024-07-10 11:38:22.907143,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,110
2024-07-10 11:38:22.917330,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,248
2024-07-10 11:38:22.918375,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,157
2024-07-10 11:38:22.919087,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.212,192.168.0.18,3478.0,61564.0,17.0,106
2024-07-10 11:38:22.922732,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,90
2024-07-10 11:38:22.923466,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,821
2024-07-10 11:38:22.926132,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,666
2024-07-10 11:38:22.933149,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,158
2024-07-10 11:38:22.937151,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,256
2024-07-10 11:38:22.953230,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,154
2024-07-10 11:38:22.956088,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.212,61564.0,3478.0,17.0,619
2024-07-10 11:38:22.957209,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,249
2024-07-10 11:38:22.958221,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,106
2024-07-10 11:38:22.969631,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.212,192.168.0.18,3478.0,61564.0,17.0,106
2024-07-10 11:38:22.970911,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,166
2024-07-10 11:38:22.972861,48:d3:43:e6:65:b0,3c:06:30:20:9c:c2,142.250.82.208,192.168.0.18,3478.0,61686.0,17.0,156
2024-07-10 11:38:22.977940,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,246
2024-07-10 11:38:22.984792,3c:06:30:20:9c:c2,48:d3:43:e6:65:b0,192.168.0.18,142.250.82.208,61686.0,3478.0,17.0,90
